wikidata_id,destination_name,eat_section_text,street_food_available
Q41183,Aleppo,"==Eat==
thumb|Sweets with pistachios.
The area around Aleppo is famous for its pistachio farming, so be sure to try the baklava and other pistachio-based sweets while you're here.

Common Syrian street food like falafels and shwarma are excellent and available throughout the city. In the souks you will also find tiny restaurants with a few stools serving up dishes like Fuul (pronounced “fool”), a bean soup served with fresh bread, onions and mint. If you are adventurous, look for the men frying curry-flavoured pancakes near the entrance to the souk. The pancakes are wrapped in bread and topped with hot sauce. Also try to buy some of the freshly made pita bread that is sold everywhere as it is delicious.

For breakfast, a fresh glass of juice and cheese sandwich can be had from the juice stands near the clock tower. Many cafés also serve great ice cream for a treat.

If you are tired after a day of wandering around the souk, try one of the cafés near the base of the citadel. They offer light snacks and drinks, including a wide range of coffees and refreshing glasses of minted lemonade.

Travellers on a strict budget should be prepared to eat very similar meals everyday as there is not a lot of variety in the diet at the cheaper end of the range.

There are plenty of good restaurants around and meals are very affordable.

* 

* 
* 
* 
* Sheraton Hotel. It may seem wrong to come to Syria and head for the Sheraton but they do offer an excellent buffet breakfast, which, if you're willing to splurge, makes a nice change from the typical Syrian fare and will set you up well for a day of exploring. They also do a fine cup of coffee.

* Al- Challal
* WANES Restaurant",True
Q262,Algeria,"==Eat==

thumb|Chicken tagine with olives. How mouthwatering is that?
Algerian cuisine is a mix of Mediterranean and North African flavors, with a strong French influence. Algerian cuisine is full of flavorful dishes such as tagines, couscous, and pastilla. Despite its rich flavors and vibrant ingredients, Algerian cuisine is not as widely known or appreciated as other Mediterranean or North African cuisines. Still, that shouldn't stop you from fully experiencing Algerian gastronomy.

* Brik (stuffed malsouka pastry)
* Fettate (Sahara speciality, in Tamanrasset)
* Taguella (bread of sand, a nomad speciality)
* Couscous (steamed semolina with sauce containing meat and/or potatoes, carrots, courgette, and chick peas)
* Buseluf (cooked lambs head)
* Dowara (stew of stomach and intestines with courgette & chick peas)
* Chorba (a meaty soup)
* Rechta (hand made spaghetti, usually served with a clear chicken broth, potatoes & chick peas)
* Chakchouka (normally, it has green peppers, onions and tomatoes; egg may be added)
* Mechoui (charcoal grilled lamb)
* Algerian pizza
* Tajine (stew)
* Mhadjeb (A dish which is a kind of flaky pancake made from semolina traditionally stuffed with onion, tomatoes, garlic, pepper, and spices)

Desserts and snacks
* Qalb El Louz (Sweet dessert made from layers of buttery semolina and ground almonds. Flavoured with orange blossom and a honey syrup, it is bursting with flavours and summery aromas. Each slice is topped with a whole almond for a lovely crunch.)
* Baklawa (Almond cake consists of many layers of very thin dough carefully hand crafted and drenched in honey)
* Ktayef (A kind of baked vermicelli, filled with almonds and drenched in sugar, syrup, and honey)
* Makroudh (sweet pastry with almonds or dates)",False
Q3561,Algiers,"==Eat==
There are several restaurants in the Bois des Arcades area. This is the hill 500 m southeast of the big Martyrs memorial. Particularly good views over Algiers and the coast can be found from here. The hill is also a woodland, so is a nice area for walking too.

* 
* 
*",False
Q3805,Amman,"Danielle Pergament of The New York Times described Ammani cuisine as a product of several cuisines in the region, writing that it combines ""the bright vegetables from Lebanon, crunchy falafels from Syria, juicy kebabs from Egypt and, most recently, spicy meat dishes from Jordan's neighbor, Iraq. It's known as the food of the Levant&nbsp;– an ancient word for the area bounded by the Mediterranean Sea and the Arabian peninsula. But the food here isn't just the sum of its calories. In this politically, religiously and ethnically fraught corner of the world, it is a symbol of bloodlines and identity."" However, the city's street food scene makes the Ammani cuisine distinctive.",True
Q39450,Anchorage,"==Eat==

thumb|Anchorage reindeer hotdogs
* 
* 
* 
* 
* 
* 
*
** 
** 
** 
* 
*
*
* 
*

* 
* 
* 
* 
* 
* 

* 
* 
* 
* 
* 
* 

In Girdwood (45 minutes south):
*",False
Q228,Andorra,"==Eat==
thumb|The country's towns are packed with cafés and restaurants
Escudella De Pages (Catalan peasant soup) or Escudella i Carn d'Ollais is often considered the national dish. It is sometimes made with pilotas (giant spiced meatballs).

The Trinxat, consisting of cabbage, potato and bacon or salted pork, is the other typical dish of the country's gastronomy and that can be tasted in most of Andorra's traditional restaurants, many of which are housed in former rustic huts.",False
Q1863,Andorra la Vella,"==Eat==
There are reasonably priced restaurants, although many of them tend to be Italian restaurants serving pizza and pasta. You find almost nothing open after 22:30, and many restaurants close Su or M.

All these are in the city centre:
* 
* 
* 
* 
* 
* 

* 
* 
* 
* 
* 

*",False
Q28271,Annapolis,"==Eat==
thumb|270px|Steamed Maryland blue crabs
* 
* 
* 
* 
* 
*
* 
* 
* 
* 
* 
* 
*",False
Q6487,Antalya,"== Eat ==
 thumb | Mermaid at Sandland 
 thumb | Antalya Museum 

: The downtown streets around Muratpaşa Mosque have many cheap eating places. 
* 
* 
* 
* 
* 
* 
* 
* 
* 

* 
* 
* 
* 
* 
* 

*",False
Q781,Antigua and Barbuda,"The islands' cuisine is mostly of European origin (UK and Portugal) with regional ingredients. Fungee (pronounced ""foon-jee"") and pepperpot are the national dishes. Fungee is a cornmeal-based dish that resembles polenta.""Antigua & Barbuda National Dish & Recipe."" Recipeisland.com. Pepperpot is a spinach and okra stew, with and without beef parts or chicken. Accessed July 2011. Other national foods include saltfish (cod), lobster (from Barbuda), ducana (a sweet dumpling made from sweet potatoes and coconut), and seasoned rice, similar to Palau or arroz con pollo. Additionally, there are confections such as peanut brittle, sugar cake (made from coconut and sugar), fudge, and raspberry (local) and tamarind stew (sauce). The Antigua black pineapple is prized for its juicy, sweet flesh. It is a well-liked fruit in the area and is included in many regional specialties and sweets. It is said to be the sweetest variety of pineapple.

An important part of the Antiguan and Barbudan breakfast is Antigua Sunday bread. It is sold in many bakeries on both islands, and instead of being made with butter, it is made with lard. There are often decorative twists on the crust of the bread. Antiguan raisin buns, often called ""bun and cheese"", is another traditional bread, which is sweet and most popular during Easter. It is sometimes made with spices such as nutmeg.",False
Q36260,Apia,"==Eat==
thumb|The fresh produce market

There are numerous restaurants that cater for locals on a budget and will sell the sort of food that is eaten in the average household. Beer and soft drinks are available at most places. The menu is likely to include chop suey, chicken curry and mutton flaps. Umu or earth oven cooked local food include roast pig, and the great delicacy, palusami. Palusami is made of an onion and coconut cream filling with a meat (usually corned beef, chicken or fish), all wrapped in new taro leaves and baked. This is a ""must try"" and goes well with taro.

Restaurants tend to close early by Western standards. With a few exceptions, the restaurants in the big hotels are the only ones open on Sunday. There are no street numbers in Apia so you will have to ask for directions if you do not take a taxi. The town is divided into lots of smaller villages and the restaurant location is given by village, road (e.g. Beach Road, which is a couple of miles long), or the building, which is not of much use to foreigners.

* 
* 
* 
* 
* 
* At the Flea Market and at Marketi Fou there are lots of food stalls selling local food, mostly fried stuff. ""The Samoan pancakes"" (small fried banana dough balls) are delicious and cost 10 sene each.
* 

thumb|Along the seafront
* 
* 
* 

* 
* 
* 
* 
* If you are wandering around town and absolutely stuck for a place to eat, the most westerly and remote McDonald's in the world can be found in central Apia.",False
Q399,Armenia,"==Eat==
thumb|Harissa

*Khorovats &ndash; A barbecue which can be chunks of pork, lamb, chicken or beef (called Shashlik in other post-Soviet countries). Usually, it is flavored with onions and other Armenian spices. Tomatoes, eggplant and bell peppers are also part of the khorovats meal. Kebab is the ground-meat version of khorovats, and is cheaper.
*Harissa &ndash; A kind of homogeneous porridge made of previously stewed and boned chicken or lamb and coarsely ground soaked shelled wheat. The dish dates back many centuries, and is traditionally served on Easter day. It is considered a national dish of Armenia, and is widely prepared by Armenians around the world.
*Borscht &ndash; A commonly served Ukrainian vegetable soup. It is traditionally made with beetroot as a main ingredient, which gives it a strong red color. It is usually served warm with fresh sour cream.
*Khash &ndash; A traditional dish, originating in the Shirak region. Formerly a nutritious winter food for the rural poor, it is now considered a delicacy, and is enjoyed as a festive winter meal. Made from less commonly used parts of animals, most visitors consider it an acquired taste.
*Dolma &ndash; Stuffed grape leaves; varieties with stuffed cabbage leaves, or bell peppers and aubergines also exist.
*Byorek &ndash; Consists of phyllo dough folded into triangles and stuffed with cheese, spinach or minced beef, and the filling is typically spiced. A popular combination is spinach, feta, cottage cheese (or pot cheese) and a splash of anise-flavored liquor (such as raki).
*Ishli kufta and Kufta &ndash; Best described as when bulgur meets meat. Very delicious and a must-try.
*Jingalov Hats (Lavash bread stuffed with herbs) &ndash; A specialty from Karabagh, and best tried fresh from the afternoon market in Stepanakert.

*Gata or Nazook &ndash; A flaky pastry with a sweet filling.
*Alani &ndash; Pitted dried peaches stuffed with ground walnuts and sugar.
*Kadaif (ghataif) &ndash; Shredded dough with cream, cheese, or chopped walnut filling, soaked with sugar syrup.
*Anoushabour &ndash; Dried fruits stewed with barley, garnished with chopped almonds or walnuts (a traditional Christmas pudding).

* Ttu lavash &ndash; flat thin sheets of dried fruit, often made from plum, apricot or sour cherries
* Manti &ndash; A type of dumpling

Armenian fruits and vegetables are special. One should definitely try them and will never forget the taste of Armenian apricot, peach, grapes, pomegranate, etc. Especially the watermelons in Armenia and neighboring countries with similar altitude and climate are of superior taste.

Armenian bread is very tasty. There is a wide range of different types of bread, including black, white lavash (a soft, thin flatbread), and matnaqash. Variants of Georgian shotis puri are widely available as well, since both countries have adopted the torne/tonir baking oven centuries ago.

Do not miss trying milk products. Along with ordinary milk products, there are some tradition",False
Q1520,Astana,"==Eat==

thumb|Beshbarmak
* Beshbarmak - a horse meat and pasta dish. Most restaurants that serve it will present a portion enough for two or three people. 
* Boursaky - bread best served piping hot, resembles an unsweetened doughnut. 
* Shashliq - these kebabs are often cheap, and the one thing you're sure to recognise on the menu.

* In addition to the places listed in Eat, many hotels also have restaurants (see the Sleep section below)
* Along Turan street (formerly Sara Arka), there's a strip of restaurants that are a little more expensive but good. They also have private rooms for parties, saunas, and even hotel rooms.

*
*
*

*
*
* 
* 
* 

*",False
Q3927,Astrakhan,==Eat==,False
Q23556,Atlanta,"==Eat==
See the Districts articles for more listings.

Affordability, variety of restaurants, culinary diversity and award-winning chefs are key ingredients that earn Atlanta a place at the table with other popular culinary cities. An assortment of neighborhoods offers an array of restaurants featuring cuisine that spans the globe, serving something for every taste.

If you want to plumb the depths of what Atlanta's restaurant scene offers, do what locals do and sift through local magazine Creative Loafing. They review restaurants all over the city, and have several lists of ""100 Dishes to Eat in Atlanta"".

During the past few years, several celebrity chefs have traveled south to call Atlanta home. Drawn to the quickly growing culinary scene, these chefs have been welcomed with open arms and some true southern hospitality. Jean-Georges Vongerichten, Anne Quatrano (Bacchanalia and Floataway Cafe), and Richard Blais (FLIP Burger Boutique, and One Midtown Kitchen) are just a few.

What better place to travel than to the heart of Atlanta to experience classic and contemporary Southern cuisine at its finest? Mary Mac's Tea Room has been serving ""meat and three"" for close to 70 years, and has photos in every room to prove it, while innovators like Canoe, JCT, Restaurant Eugene, and South City Kitchen update Southern cuisine for the 21st century.

A Wall Street Journal article in 2007 named Atlanta the best city in the U.S. for burgers. Their top pick went to Ann's Snack Bar, an 8-seat dive run by one woman. The Vortex and The Earl were also listed, and are better choices if you don't have several hours to spend waiting in line. There are dozens of other highly-rated relative newcomers to the burger scene.

Atlanta is also making a name for itself in pizza of almost every style. For gourmet Neapolitan-style pizza, Antico Pizza Napoletana and Varasano's are invariably named among the best, but opinions are divided about which is the top. Other gourmet pizzerias include Ammazza, Double Zero, and Fritti, to name just a few. If you're looking for less-pretentious 'za, check out Blue Moon Pizza, Cameli's, Fellini's, Nina & Rafi, or Rocky Mountain Pizza.

Of course, you can stick with the landmarks, such as The Varsity (the world's largest drive-in), The Sun Dial (a restaurant on top of the Westin Hotel), Pittypat's Porch (Southern charm inspired by Gone With the Wind), or R. Thomas (healthy meals including vegetarian, vegan, and gluten-free).

You might be surprised to learn that Atlanta is home to the headquarters of many restaurant chains. Some are small regional or Atlanta-only chains such as Flying Biscuit Café, Taqueria del Sol, Figo Pasta, Tin Drum Asiacafé, and Willy's Mexicana Grill. The iconically Southern chains Waffle House and Chick-Fil-A got their start in Atlanta, as did Mellow Mushroom, Moe's Southwest Grill, and national chain restaurant Applebee's. Other chains just find Atlanta to be a great business home, including Ted's Montana Grill (fou",False
Q408,Australia,"thumb|[[South Australian wines]]
Most Indigenous Australian groups subsisted on a diet of native fauna and flora, otherwise called bush tucker. It has increased in popularity among non-Indigenous Australians since the 1970s, with examples such as lemon myrtle, the macadamia nut and kangaroo meat now widely available.Lockhart, Jessica Wynne (4 August 2023). ""The Next Superfoods May Come From Australia"", Smithsonian. Retrieved 5 February 2024.McCubbing, Gus (4 November 2022). ""Bush food industry worth $80m but could double by 2025: study"", Australian Financial Review. Retrieved 5 February 2024.

The first colonists introduced British and Irish cuisine to the continent. This influence is seen in dishes such as fish and chips, and in the Australian meat pie, which is related to the British steak pie. Also during the colonial period, Chinese migrants paved the way for a distinctive Australian Chinese cuisine.

Post-war migrants transformed Australian cuisine, bringing with them their culinary traditions and contributing to new fusion dishes.Newton, John (2018). The Getting of Garlic: Australian Food from Bland to Brilliant, with Recipes Old and New. NewSouth Publishing. , pp. 32, 230–231. Italians introduced espresso coffee and, along with Greeks, helped develop Australia's café culture, of which the flat white and avocado toast are now considered Australian staples.Waters, Cara (15 June 2015). ""Smashed avo, anyone? Five Australian creations taking the world by storm"", The Guardian. Retrieved 6 February 2024. Pavlovas, lamingtons, Vegemite and Anzac biscuits are also often called iconic Australian foods.

Australia is a leading exporter and consumer of wine. Australian wine is produced mainly in the southern, cooler parts of the country. The nation also ranks highly in beer consumption,Per Capita Beer Consumption by Country (2004) , Table 3, Kirin Research Institute of Drinking and Lifestyle – Report Vol. 29–15 December 2005, Kirin Holdings Company. with each state and territory hosting numerous breweries.",False
