destination_id,destination_name,stay_safe_text
Q34804,Albuquerque,"thumb|350px|Although rare, snow is not unheard of in Albuquerque
Albuquerque has an average crime rate compared to some other American cities, but most of it is property crime of more concern to residents than to visitors.

Central Avenue is home to some of Albuquerque's main attractions, but portions of it can be somewhat dangerous after dark. The section from the train tracks (eastern edge of downtown) to University Blvd. can be a little scary in the evening. Even in Downtown, while Central Avenue is passable, smaller nearby streets such as Copper Street can be scary after dark. The Nob Hill/UNM district (between University and Carlisle) is perfectly safe at night, but Central gets progressively seedier east of Carlisle, and can get quite scary around the Fairgrounds. Consider the bus or a cab through these areas after the sun goes down. The motels by the airport and their parking lots are frequent sites for illicit deals of various types. If staying at one of these establishments, simply do not engage and nothing bad will happen. 

Due to its size and mild climate, the streets of Albuquerque are considered home to many people. While not typically a danger, do expect to meet up with beggars and vagrants, particularly around UNM.

If you're going to be engaging in outdoor recreation (even as laid-back as watching an Isotopes day game), slather on the sun screen. The elevation of the city is or higher, and there is usually not much cloud cover, so one can get a bad sunburn in surprisingly short order.

Also, New Mexico is very arid. That, and its high altitude results in very low humidity in both summer and winter, which can lead to dehydration. Drink plenty of water. A common complaint among visitors from lower altitudes is a persistent headache, which is often mistaken for altitude sickness, but is really a common symptom of dehydration. Consider carrying a water bottle and drinking frequently throughout the day if you don't already.

Be forewarned about New Mexican cuisine; if you're not used to green chile, go easy at first. Many first-timers have tried to eat the hottest chile they could find, only to discover six hours later that it was much hotter than they remembered. Be prepared."
Q41183,Aleppo,"See the warning on the Syria article for more information. 

Many buildings in the city, particularly in the Salaheddin neighborhood and surrounding areas, have been damaged severely by the civil war. Buildings can and do collapse, often with deadly consequences. Stay away from buildings that have sustained heavy damage or look structurally unstable."
Q262,Algeria,"Although Algeria has a universal healthcare system that covers all citizens and provides free medical care at public facilities, the public healthcare system is notorious for being poorly maintained; the system has been beset by underfunding, understaffing, overcrowding, corruption, and mismanagement. In addition, expect little to no help if you're not proficient in Arabic, French, or both. Medical care in Southern Algeria, particularly in the Sahara, is virtually non-existent. If you’re planning a trip to the area, bring your own medical supplies.

Algeria is sometimes struck by localized power cuts during summer in the south, which means that refrigerated foods may go bad. Therefore, you should keep that in mind when eating in restaurants, as the likelihood of getting food poisoning is always there.

Mosquitoes are also a problem in Algeria, but they are just a nuisance, as malaria is not common. In urban areas, there is periodic city-wide spraying against mosquitoes.

Do not expect very good water quality in southern Algeria. Buy bottles of water instead of drinking tap water: they are cheap at DA40 for 1.5L, so 5L of good water costs less than US$1.

Hygiene standards in Algeria are generally low, and litter is widespread—even in remote areas. While this is unlikely to pose a direct health risk, it can make public spaces unpleasant. Take normal precautions such as using hand sanitizer, avoiding contact with debris, and choosing cleaner-looking restaurants and accommodations where possible."
Q3561,Algiers,"* To contact the Algerian police, dial 1548. 
* To contact the Algerian fire department, dial 14. 
* To contact the Algerian parademics, dial 0 213 23 54 44 28."
Q39450,Anchorage,"Anchorage has a reputation for being a dangerous city — a reputation that's not entirely unwarranted — but the average traveller should not be too overly concerned or cautious of their surroundings. A lot of the crime occurs between those involved in the drug trade or organized crime.

Like most cities, location is very important as security changes from place to place. Areas close to downtown are safer to walk at night. Stay in populated areas, avoid poor neighborhoods, especially at night, and don't walk there at any time if you are alone. Vicious beatings have been reported at resorts by people who have travelled alone, so stay alert for any suspicious-looking individual. 

Certain areas in the northeast of the city (Mountain View, north of the Glenn Highway and east of Merrill Field airport) and central (Fairview, 6th to 15th Avenue, east of Ingra) have higher crime than other spots. 

As in all other cities these crimes receive a disproportionate amount of attention from local media. These tragic events, however, are typically not random so they will probably not impact your visit. You are more likely to be a victim of crimes of opportunity; however, most violent crimes in Anchorage are usually domestic disputes.

Also, areas around the airport like Spenard are known for increased drug activity and sex work. In earlier times, the downtown area around 4th Avenue was like that, but a concerted effort over the last eight years has mostly moved the activity into Spenard. 

A constant problem is car break-ins at parking lots. Do not leave any valuables visible.

The trails close to and around the university are unsafe when it is dark. During the colder months there are increased attacks on females going to and from the housing and library.  

Also, stay a good distance away from moose. Although they may appear harmless, they can and will protect their young ones from people, and can charge if they feel cornered or threatened. Never approach them, as they are best viewed from a distance."
Q228,Andorra,"The main hospital in Andorra is the Meritxell (pronounced merichai) Hospital (+376 871 000).

Tap water is drinkable, though if you're coming from far away it's possible the local microbes and minerals may upset your stomach at first. As in many places, bottled water is safest."
Q916,Angola,"thumb|Lucrécia Paím Maternity Hospital
Epidemics of cholera, malaria, rabies and African hemorrhagic fevers like Marburg hemorrhagic fever, are common diseases in several parts of the country. Many regions in this country have high incidence rates of tuberculosis and high HIV prevalence rates. Dengue, filariasis, leishmaniasis and onchocerciasis (river blindness) are other diseases carried by insects that also occur in the region. Angola has one of the highest infant mortality rates in the world and one of the world's lowest life expectancies. A 2007 survey concluded that low and deficient niacin status was common in Angola. Demographic and Health Surveys is currently conducting several surveys in Angola on malaria, domestic violence and more.

In September 2014, the Angolan Institute for Cancer Control (IACC) was created by presidential decree, and it will integrate the National Health Service in Angola. The purpose of this new centre is to ensure health and medical care in oncology, policy implementation, programmes and plans for prevention and specialised treatment.Novo instituto oncológico de Angola quer ser referência em África , Diário Digital (Source: Lusa Agency), 9 September 2014 This cancer institute will be assumed as a reference institution in the central and southern regions of Africa.Novo instituto oncológico angolano quer ser instituição de referência no continente , Ver Angola, 11 September 2014

In 2014, Angola launched a national campaign of vaccination against measles, extended to every child under ten years old and aiming to go to all 18 provinces in the country.Angola: Over 30,000 Children Vaccinated Against Measles in Huila , All Africa, 30 September 2014 The measure is part of the Strategic Plan for the Elimination of Measles 2014–2020 created by the Angolan Ministry of Health which includes strengthening routine immunisation, a proper dealing with measles cases, national campaigns, introducing a second dose of vaccination in the national routine vaccination calendar and active epidemiological surveillance for measles. This campaign took place together with the vaccination against polio and vitamin A supplementation.

A yellow fever outbreak, the worst in the country in three decades began in December 2015. By August 2016, when the outbreak began to subside, nearly 4,000 people were suspected of being infected. As many as 369 may have died. The outbreak began in the capital, Luanda, and spread to at least 16 of the 18 provinces. In the 2024 Global Hunger Index (GHI), Angola has a serious level of hunger and ranks 103rd out of 127 countries. Angola's GHI score is 26.6"
Q28271,Annapolis,"Annapolis is one of the safest cities in Maryland. The normal precautions apply, but downtown is pretty much safe at all times. Due to its status as the state capital, there is a larger-than-usual police presence; the Annapolis City Police, Maryland Capital Police, Maryland State Police and, Anne Arundel County Police are all commonly seen in the city and surrounding areas."
Q6487,Antalya,"thumb | 300px | Aliens exploring the Toy Museum 
Standard precautions about traffic, water and sun safety, care of valuables and avoiding drunks. 

Antalya like any other big city has its quota of dodgy individuals, sharp-edged trash and stray dogs; but tourists have little reason to be in down-at-heel districts."
Q3915,Antananarivo,"Despite ongoing efforts by the Ministry of Domestic Security, crime has worsened in Antananarivo since 2009. Between 1994 and 1998, the city had an average of eight to twelve police officers for every 10,000 inhabitants; large cities typically have closer to fifteen. Under the mayorship of Marc Ravalomanana (1998–2001), street lights were installed or repaired throughout the city to improve night-time safety. He increased the number of police officers on the streets, leading to a drop in crime. , the city lacks a comprehensive strategy for reducing crime. The recent increase in crime and the inadequate response from the CUA has prompted the growth of private security firms in the city.

The Antanimora Prison is located in the Antanimora district of the city. The facility has a maximum capacity of 800 inmates and has been reported to be severely overcrowded, at times housing more than 4000 detainees."
Q36260,Apia,"Samoa is generally very safe. Locals who strike up a conversation are unlikely to have sinister motives, however you will often be asked for money.

Free roaming dogs can be a safety problem in the capital Apia. The Government of Samoa (GoS) passed the Canine Control Act in 2013 as an initial step toward addressing dog management. Most dogs ignore you and don't see you as a threat if you ignore them.

Nearly all of Samoa's nightlife is in Apia, and so, like anywhere in the world around closing time, it can get a bit rowdy. Samoans are, on the whole, extremely friendly and despite their size, remarkably relaxed and gentle people. This does not mean you should let your guard down. Alcohol related violence is a major problem in Samoa.

The concept on ownership in Polynesia is different. Locals believe in sharing everything, and this does mean that items can be swiped. Do not leave anything of value lying around."
Q414,Argentina,"thumb|San Ignacio Miní, one of the world heritage listed Jesuit missions in the north of Argentina
Visiting Argentina doesn't raise any major health worries. Certain vaccinations may be necessary for visitors, depending on what parts of Argentina you plan to visit. Yellow fever vaccinations are recommended for those visiting the Northern forests. If you missed your vaccination at home, it is possible to receive a free yellow fever shot in Argentina, in one of the bigger cities. This can be of advantage if you travel further to other Amazonian countries. However, be prepared to be queued at the very end&mdash;first the locals are treated. Also, there are specific days of the week when the vaccination takes place.

Dengue, a mosquito borne illness, is a serious and potentially fatal illness. Mosquito bites should be prevented at all costs, where they have many bug repellents, from lotions to sprays, as well as citronella candles, and 'espirales' (a spiral shaped incense). These are purchasable at most kiosks or pharmacies.

Different climate conditions might take your body by surprise, so be aware of the weather before you arrive. An upset stomach is the most you're likely to have to worry about as your body adjusts to local microorganisms in the food.

It's also best to ease yourself gently into the local diet – sudden quantities of red meat, red wine, strong coffee and sweet pastries can be very unsettling for a stomach used to gentler repasts – and though tap water in Argentina is safe to drink, if sometimes heavily chlorinated, you may prefer to err on the side of caution in rural areas in the north of the country.

Although oral contraceptives are sold over the counter, without a prescription, a woman considering taking them is well advised first to consult a wise and licensed physician about their proper use, as well as possible contraindications and side effects.

Hospitals are free, and won't charge you for treatment. However, it is customary to offer a contribution, if you have the means. In public/state run hospitals, it is illegal for hospital employees to ask for payments. It does not include private health care facilities, or medicines.

Heat rash, dehydration, and sunburns are common for first time visitors, in particular in the hotter months. Therefore, it is recommended that you use Sun block in Argentina."
Q399,Armenia,"If you are dining with Armenians, they will feed you until you cannot eat any more. The food is generally safe, even from the roadside khorovats stands.

The tap water is generally safe, as it comes directly from mountains. Tab and spring water is available virtually everywhere, especially at churches and monasteries. This means that you do not need to carry a lot of water with you, just a 0.5 L bottle should be enough.

Despite one of the highest rates of smoking in Europe, Armenia has very restrictive non-smoking laws in restaurants and bars. It is illegal to smoke indoors, or even in patio areas of such establishments. The indoor smoking ban is followed well, especially in Yerevan, but some places ignore the outdoor smoking ban."
Q23438,Ashgabat,"Ashgabat is a center for healthcare and medical training of Turkmenistan. Large-scale reconstruction work on buildings and modernization of the material and technical base of existing healthcare institutions is constantly ongoing in the city.

The Directorate of International Medical Centers in Ashgabat includes International Center Ene mähri (maternity hospital), International Center of Endocrinology and Surgery, International Center of Head and Neck Diseases, International Center of Eye Diseases, Ashgabat Dental Center, International Center of Cardiology, International Center of Internal Medicine, International Center of Neurology, International Diagnostic Center, International Education and Science Center, International Diagnostic Center, International Education and Science Center, International Center of Traumatology and International Burn Center. The main medical centers are located along Professor Hans Meissner Avenue in the south of Ashgabat. In 2024, they were opened International Health and Rehabilitation Center, and the International Scientific and Clinical Center of Physiology.

Medical and preventive institutions in Ashgabat include: Scientific-Clinical Center of Oncology, Scientific-clinical center for Maternal and Child health, Treatment and Consultative centre named after S.А.Nyýazow, Hospital with Scientific Clinical Centre of Cardiology, Emergency First Aid Center, Central Bureau of Pathologic Anatomy, Central Bureau of Forensic Medicine, Central Medical-Recovery Hospital, Medical Diagnostic Center.

The Directorate of Infectious Disease Centers is located in the Choganly residential complex in the north of Ashgabat, which includes Central Dermatovenerological Hospital, Treatment and prevention Center for infectious diseases, Blood Center, National AIDS Prevention Center, Center for Treatment and Prevention of Tuberculosis and Centralized Laboratory.

The central office of the State Sanitary and Epidemiological Service is located in Ashgabat. The Center for Public Health and Nutrition and the Center for the Prevention of Particularly Dangerous Infections operate in Ashgabat.

As of 2018, there are 16 outpatient clinic's operating in the Ashgabat.

The following higher and secondary medical educational institutions operate in Ashgabat: Turkmen State Medical University named after Myrat Garryev, Indira Gandhi Secondary Medical School of Ashgabat. The following were established at the Turkmen State Medical University: in 2011 – the Scientific and Clinical Center for Eye Diseases, in 2013 – the Educational and Industrial Center for Dentistry, and in 2015 – the Educational and Scientific Center for the Protection of Maternal and Child Health.

The city pays great attention to the development of the pharmaceutical industry. The following medical industry and pharmaceutical supply institutions operate in Ashgabat: Turkmendermansenagat Association, Main Pharmacy Association, Center for Drug Registration and State Quality Control, Institu"
Q1520,Astana,"Astana doesn't have any major safety issues, for example you can drive late at night without problems. Bus drivers may shortchange you when buying tickets."
Q1524,Athens,"Athens ranks in the lowest percentage for the risk on frequency and severity of terrorist attacks according to the EU Global Terrorism Database (EIU 2007–2016 calculations). The city also ranked 35th in Digital Security, 21st on Health Security, 29th on Infrastructure Security and 41st on Personal Security globally in a 2017 The Economist Intelligence Unit report. It also ranks as a very safe city (39th globally out of 162 cities overall) on the ranking of the safest and most dangerous countries. As November 2024 the crime index from Numbeo places Athens at 55.40 (moderate), while its safety index is at 44.60.Crime in Athens According to a Mercer 2019 Quality of Living Survey, Athens ranks 89th on the Mercer Quality of Living Survey ranking."
Q23556,Atlanta,"Despite Atlanta's historic reputation for crime, the city is not as dangerous as many perceive it to be. In fact, Atlanta's crime rate dropped significantly during the 1990s and 2000s, reaching a forty-year low in 2005. While violent crime levels are still high compared to most American cities, most of it is related to the drug trade and takes place in parts of the city visitors rarely – if ever – see.

Usual precautions should be taken, as in any other major city, such as not traveling alone at night and being aware of which neighborhoods are more prone to crime. In Atlanta, the southwest and southeast areas have reported the most incidents of crime; the triangle created by I-285, I-75, and I-20 in particular is a dangerous neighborhood. Avoid venturing in areas surrounding the new Mercedes-Benz stadium such as Bankhead and Vine City late at night. Car theft is exceptionally high by national standards. Outside of the perimeter, crime rates are significantly lower (except Dekalb County).

One thing to watch out for in Atlanta are homeless people, which have become an unfortunately prevalent sight since the 2000s. Whereas homeless people in big cities tend to leave you alone if you ignore them, those in Atlanta have been known to physically harass locals or tourists alike. Areas where the homeless tend to congregate most include the John Lewis Freedom Parkway, the areas south of the Georgia Institute of Technology, and northern Midtown."
Q16559,Austin,"As of 2019, Austin is one of the safest large cities in the United States. In 2019, the FBI named Austin the 11th safest city on a list of 22 American cities with a population above 400,000.

FBI statistics show that overall violent and property crimes dropped in Austin in 2015, but increased in suburban areas of the city. One such southeastern suburb, Del Valle, reported eight homicides within two months in 2016. According to 2016 APD crime statistics, the 78723 census tract had the most violent crime, with 6 murders, 25 rapes, and 81 robberies. The city had 39 homicides in 2016, the most since 1997.

In 1884 and 1885, one of the earliest recorded serial killings in the United States occurred in Austin, in which 8 people were murdered by a suspect known as the ""Servant Girl Annihilator"".

One of the first American mass school shooting incidents took place in Austin on August 1, 1966, when Charles Whitman shot 43 people, killing 13 from the top of the University of Texas tower. The University of Texas tower shooting led to the formation of the SWAT team of the Austin Police Department.

In 1991, four teenage girls were murdered in a yogurt shop by serial killer Robert Eugene Brashers. A police officer responded to reports of a fire at the I Can't Believe It's Yogurt! store on Anderson Lane and discovered the girls' bodies in a back room. The murders were unsolved until 2025.

In 2010, Andrew Joseph Stack III deliberately crashed his Piper PA-28 Cherokee into Echelon 1, a building in which the Internal Revenue Service was a lessee of, housing 190 employees. The resulting explosion killed one and injured 13 IRS employees, partially damaged the building and cost the IRS a total of $38.6&nbsp;million. (see 2010 Austin suicide attack)

A series of bombings occurred in Austin in March 2018. Over the course of 20 days, five package bombs exploded, killing two people and injuring another five. The suspect, 23-year-old Mark Anthony Conditt of Pflugerville, Texas, blew himself up inside his vehicle after he was pulled over by police on March 21, also injuring a police officer.

In 2020, Austin was the victim of a cyberattack by the Russian group Berserk Bear, possibly related to the U.S. federal government data breach earlier that year.

On April 18, 2021, a shooting occurred at the Arboretum Oaks Apartments near The Arboretum shopping center, in which a former Travis County Sheriff's Office detective killed his ex-wife, his adoptive daughter, and his daughter's boyfriend. The suspect, who was previously charged with child sexual assault, was arrested in Manor after a 20-hour manhunt.

A mass shooting took place in the early morning of June 12, 2021, on Sixth Street, which resulted in 14 people injured and one dead. The man killed was believed to be an innocent bystander who was struck as he was standing outside a bar. A 19-year-old suspect, De'ondre ""Dre"" White, was formally charged and arrested in Killeen nearly two weeks after the shooting.

In 2024, Za"
Q408,Australia,"Australia's life expectancy of 83 years (81 years for males and 85 years for females) is the fifth-highest in the world. It has the highest rate of skin cancer in the world, while cigarette smoking is the largest preventable cause of death and disease, responsible for 7.8% of the total mortality and disease. Ranked second in preventable causes is hypertension at 7.6%, with obesity third at 7.5%. Australia ranked 35th in the world in 2012 for its proportion of obese women and near the top of developed nations for its proportion of obese adults; 63% of its adult population is either overweight or obese.

Australia spent about 9.91% of its total GDP to health care in 2021. It introduced a national insurance scheme in 1975. Following a period in which access to the scheme was restricted, the scheme became universal once more in 1981 under the name of Medicare. The program is nominally funded by an income tax surcharge known as the Medicare levy, currently at 2%. The states manage hospitals and attached outpatient services, while the Commonwealth funds the Pharmaceutical Benefits Scheme (subsidising the costs of medicines) and general practice."
Q40,Austria,"thumb|A rescue helicopter at a ski piste in Annaberg
Austria has an excellent healthcare system by Western standards. Hospitals are modern, clean, and well-equipped. Healthcare in Austria is funded by the Krankenkassen (Sickness-funds), compulsory public insurance schemes that cover 99% of the population. Most hospitals are owned and operated by government bodies or the Krankenkassen. Private hospitals exist, but mainly for non-life-threatening conditions. Doctor's surgeries on the other hand are mostly private, but most accept patients from the Krankenkassen. Many Austrians choose to buy supplemental private health insurance. This allows them to see doctors that don't accept Krankenkassen and to stay in special hospital wards with fewer beds (which often receive preferential treatment).

If you are a traveller from the EU, you can get any form of urgent treatment for free (or a small token fee) that is covered by the Krankenkassen. Non-urgent treatment is not covered. Simply show your European Health Insurance Card and passport to the doctor or hospital. When going to a GP, look out for their signs: ""Alle Kassen"" (all Krankenkassen accepted), or ""Keine Kassen"" (no Krankenkassen accepted), in which case your EHIC is not valid. Supplemental travel insurance is recommended if you want to be able to see any doctor or receive specialist treatment.

If you are a traveller from outside the EU, and have no travel insurance, you will need to pay the full cost of treatment up-front (with the exception of the emergency room). Medical bills can be very expensive, though still reasonable when compared to the USA.

Austria has a dense network of helicopter ambulances that can reach any point in the country within 15 minutes. Beware: Mountain rescue by helicopter is not covered by your EHIC, or indeed most travel insurance. If you have a medical emergency while you are in the mountains (e.g. you break a leg while skiing), the helicopter will be called on you regardless of whether you ask for it or not, and you will be billed upwards of . Mountain sports insurance is therefore highly recommended; you can obtain this from your health insurer or by becoming a member of the Austrian Alpine Club ( for one year of membership, automatic insurance for mountain search-and-rescue costs up to ).

Certain regions in Austria (Carinthia, Styria, Lower Austria) are affected by tick borne encephalitis. For those who plan on doing outdoor activities in spring or summer a vaccine is strongly recommended. Also be aware that there is a small, endangered population of sand vipers in the south.

Tap water is of exceptional quality and safe to drink in Austria (except in some parts of lower Austria, where it is recommended to ask about the water quality first!). The quality of water in Vienna and Graz is supposedly comparable to that of Evian."
Q227,Azerbaijan,"Robbing and pickpocketing in the capital Baku, especially in poor and sparsely populated areas is possible but rare and is higher across the capital at night. Common sense is useful as in all other countries. Also watch your stuff in public transport.

Criminals posing as police officers have sometimes stopped foreigners and stolen documents and money. If you are stopped on the street by a person in a police uniform, be cooperative but ask to see a badge or ID card.

Azerbaijan is one of the most corrupt countries in the world. 

Corruption is widespread. But as a foreigner you have a fairly strong position in refusing to pay ""hörmet"" (bribe). Never give any bribe. Often Azeris are so ashamed of their corrupt economy, that they might hide it from you anyway.

Although the country has a myriad of fantastic photo opportunities, it is illegal to take photographs of anything of strategic importance, i.e., military sites and equipment. If you are in doubt, simply ask.

Since the collapse of the Soviet Union, Azerbaijan has fought wars with Armenia. Fighting took place again in September 2022. Many governments advise against travelling to Nagorno-Karabakh, its surrounding areas, and areas near the border with Armenia. Some areas may contain high amounts of unexploded ordnance (UXO) and landmines. Generally speaking, you have little reason to go to areas near the Armenia-Azerbaijan border as those areas have nothing that interests tourists.

Although homosexuality was decrminalised in 2000, homophobia is widespread in Azerbaijan. The cultural and societal abhorrence against the LGBT community is far-reaching.

There are no laws in place to protect the rights of LGBT people and same-sex marriages are formally banned in the country. 

If you are LGBT, it is strongly recommended that you do not exhibit your sexuality in public; openly displaying your orientation may invite harsh words or at worst, violence.

* When outside of the city, try to travel during the day time, unless you take a night train. The roads can be treacherous at night due to unseen potholes and dimly lit cars.

* Ambulance: 103
* Fire: 101
* Gas Emergency: 104
* Speaking Clock: 106
* Police: 102

You must speak in Azeri, Turkish or Russian to communicate your needs. It would be a good idea to memorize key phrases before coming to Azerbaijan - see the Talk section for phrasebooks."
Q5684,Babylon,See the warning on the Iraq article.
